Program,Year,Value
SURVEY,2019,55.8
SURVEY,2018,54.5
SURVEY,2017,55.5
SURVEY,2016,58.4
SURVEY,2015,58.9
SURVEY,2014,65.1
SURVEY,2013,56.6
SURVEY,2012,56
SURVEY,2011,59.6
SURVEY,2010,65.6
SURVEY,2009,58.6
SURVEY,2008,69.9
SURVEY,2007,60.7
SURVEY,2006,64.7
SURVEY,2005,72.5
SURVEY,2004,71.8
SURVEY,2003,69.9
SURVEY,2002,67
SURVEY,2001,73
SURVEY,2000,84
SURVEY,1999,77
SURVEY,1998,84
SURVEY,1997,74.7
SURVEY,1996,77.3
SURVEY,1995,79.5
SURVEY,1994,78.4
SURVEY,1993,80.2
SURVEY,1992,72.8
SURVEY,1991,68.8
SURVEY,1990,61.7
SURVEY,1989,51.2
SURVEY,1988,66.1
SURVEY,1987,71